county,Less_than_HS,HS_graduate,Some_college_or_associate_degree,Bachelor_or_higher,PCT_less_than_HS,PCT_HS_graduate,PCT_some_college_or_associate_degree,PCT_bachelor_or_higher
Addison ,"1,286","7,596","5,952","11,408",4.9,28.9,22.7,43.5
Bennington ,"1,577","7,298","6,976","11,088",5.9,27.1,25.9,41.2
Caledonia ,"1,405","7,557","6,120","7,080",6.3,34.1,27.6,31.9
Chittenden ,"5,115","19,642","25,496","63,437",4.5,17.3,22.4,55.8
Essex ,523,"1,843","1,222",964,11.5,40.5,26.8,21.2
Franklin ,"2,510","13,298","9,622","10,287",7.0,37.2,26.9,28.8
Grand Isle ,187,"1,680","1,356","2,449",3.3,29.6,23.9,43.2
Lamoille ,"1,210","4,514","4,775","8,196",6.5,24.1,25.5,43.8
Orange ,"1,161","6,991","5,865","8,064",5.3,31.7,26.6,36.5
Orleans ,"1,639","7,600","5,184","5,767",8.1,37.6,25.7,28.6
Rutland ,"2,826","14,826","12,300","15,112",6.3,32.9,27.3,33.5
Washington ,"1,875","11,121","10,275","20,641",4.3,25.3,23.4,47.0
Windham ,"1,772","9,767","8,170","14,481",5.2,28.6,23.9,42.4
Windsor ,"2,240","12,446","10,809","18,395",5.1,28.4,24.6,41.9
