county,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,Civilian_labor_force_2022,Employed_2022,Unemployed_2022,Unemployment_rate_2022,Median_Household_Income_2022
Addison ,"20,445","19,508",937,4.6,"20,445","19,853",592,2.9,"20,956","20,507",449,2.1,"79,526"
Bennington ,"17,631","16,477","1,154",6.5,"17,336","16,553",783,4.5,"17,761","17,260",501,2.8,"69,249"
Caledonia ,"14,506","13,641",865,6.0,"14,365","13,805",560,3.9,"14,705","14,301",404,2.7,"61,554"
Chittenden ,"95,839","91,326","4,513",4.7,"95,264","92,438","2,826",3.0,"97,567","95,805","1,762",1.8,"86,579"
Essex ,"2,701","2,496",205,7.6,"2,674","2,538",136,5.1,"2,694","2,600",94,3.5,"54,570"
Franklin ,"27,264","25,870","1,394",5.1,"27,395","26,410",985,3.6,"27,786","27,139",647,2.3,"76,395"
Grand Isle ,"4,068","3,831",237,5.8,"4,041","3,878",163,4.0,"4,140","4,019",121,2.9,"76,260"
Lamoille ,"13,855","12,787","1,068",7.7,"13,744","13,167",577,4.2,"14,147","13,725",422,3.0,"65,190"
Orange ,"15,819","14,990",829,5.2,"15,568","15,039",529,3.4,"15,826","15,464",362,2.3,"73,057"
Orleans ,"13,051","12,056",995,7.6,"13,053","12,419",634,4.9,"13,370","12,843",527,3.9,"56,818"
Rutland ,"30,193","28,158","2,035",6.7,"29,625","28,330","1,295",4.4,"29,951","29,087",864,2.9,"61,290"
Washington ,"33,870","32,218","1,652",4.9,"33,177","32,129","1,048",3.2,"34,105","33,373",732,2.1,"77,432"
Windham ,"21,608","20,154","1,454",6.7,"20,896","19,926",970,4.6,"21,236","20,694",542,2.6,"61,976"
Windsor ,"28,909","27,198","1,711",5.9,"28,679","27,681",998,3.5,"29,307","28,731",576,2.0,"74,244"
