county,Population,at_least_one_dose,PCT_at_least_one_dose,fully_vaccinated,PCT_fully_vaccinated
Addison,36939,31077,84.13,27426,74.25
Bennington,35920,18739,52.17,16053,44.69
Caledonia,30425,13152,43.23,11505,37.81
Chittenden,162052,144861,89.39,127879,78.91
Essex,6208,3142,50.61,2430,39.14
Franklin,49025,21319,43.49,18910,38.57
Grand Isle,6965,7065,101.44,6170,88.59
Lamoille,25268,19759,78.20,16744,66.27
Orange,28937,19557,67.58,16097,55.63
Orleans,26911,18531,68.86,16387,60.89
Rutland,59273,47790,80.63,41875,70.65
Washington,58477,32539,55.64,28851,49.34
Windham,43150,36199,83.89,30143,69.86
Windsor,55427,37062,66.87,28568,51.54
